dong_xe,gia,hang,hop_so,kieu_dang,km_da_di,nam_sx,nhien_lieu,so_cho_ngoi,tinh_trang,xuat_xu
Hiace,218.000.000,Toyota,Số sàn,Van,999,2006,Dầu,16,Đã sử dụng,Nhật Bản
Spark,199.999.999,Chevrolet,Tự động,Hatchback,95000,2014,Xăng,5,Đã sử dụng,Mỹ
E Class,265.000.000,Mercedes Benz,Tự động,Sedan,170000,2003,Xăng,5,Đã sử dụng,Việt Nam
CLA Class,795.000.000,Mercedes Benz,Tự động,Sedan,65000,2015,Xăng,5,Đã sử dụng,Đức
Corolla Altis,420.000.000,Toyota,Tự động,Sedan,98000,2014,Xăng,5,Đã sử dụng,Việt Nam
Grand i10,310.000.000,Hyundai,Số sàn,Hatchback,35000,2020,Xăng,5,Đã sử dụng,Việt Nam
Sienna,425.000.000,Toyota,Tự động,SUV / Cross over,185000,2005,Xăng,7,Đã sử dụng,Mỹ
C Class,1.290.000.000,Mercedes Benz,Tự động,Sedan,20000,2019,Xăng,5,Đã sử dụng,
Elantra,508.000.000,Hyundai,Tự động,Sedan,38000,2016,Xăng,5,Đã sử dụng,Việt Nam
Xpander,544.000.000,Mitsubishi,Tự động,Minivan (MPV),38150,2019,Xăng,5,Đã sử dụng,Thái Lan
A4,495.000.000,Audi,Tự động,Kiểu dáng khác,8,2011,Xăng,5,Đã sử dụng,Đức
Yaris,463.000.000,Toyota,Tự động,Hatchback,30000,2015,Xăng,5,Đã sử dụng,Thái Lan
Xpander,575.000.000,Mitsubishi,Tự động,Minivan (MPV),20000,2020,Xăng,7,Đã sử dụng,Nước khác
Accent,390.000.000,Hyundai,Số sàn,Sedan,48000,2018,Xăng,5,Đã sử dụng,Việt Nam
Xpander,540.000.000,Mitsubishi,Tự động,Minivan (MPV),22000,2019,Xăng,5,Đã sử dụng,Nước khác
Xpander,518.000.000,Mitsubishi,Tự động,Minivan (MPV),65000,2019,Xăng,5,Đã sử dụng,Việt Nam
