	kieu_dang	hop_so	km_da_di	nhien_lieu	so_cho_ngoi	tinh_trang	xuat_xu	nam_sx	gia	dong_xe	hang
13584	Sedan	Tự động	350000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2020	378000000.0	I10	Hyundai
16547	SUV / Cross over	Tự động	0	Dầu	7	Mới	Lắp ráp trong nước	2021	1114000000.0	Sorento	Kia
24133	Van/Minivan	Số sàn	200000	Xăng	16	Đã sử dụng	Lắp ráp trong nước	2007	198000000.0	Hiace	Toyota
33051	Bán tải / Pickup	Số sàn	123456	Dầu	5	Đã sử dụng	Nhập khẩu	2005	185000000.0	Ranger	Ford
32363	Van/Minivan	Tự động	68000	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2011	305000000.0	Carens	Kia
25567	SUV / Cross over	Tự động	60000	Xăng	7	Đã sử dụng	Nhập khẩu	2015	2199000000.0	GLclass	Mercedes Benz
39968	Sedan	Tự động	45000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2017	465000000.0	Cerato	Kia
39609	SUV / Cross over	Tự động	178000	Xăng	7	Đã sử dụng	Nhập khẩu	2014	530000000.0	Fortuner	Toyota
2989	Van/Minivan	Số sàn	160000	Dầu	29	Đã sử dụng	Lắp ráp trong nước	2016	650000000.0	County	Hyundai
40279	SUV / Cross over	Tự động	62000	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2016	655000000.0	Fortuner	Toyota
17156	Truck	Số sàn	30000	Xăng	2	Đã sử dụng	Lắp ráp trong nước	2008	90000000.0	SuperCarryTruck	Suzuki
20420	Sedan	Tự động	100000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2017	1495000000.0	Eclass	Mercedes Benz
25979	SUV / Cross over	Số sàn	119988	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2005	179000000.0	Zace	Toyota
32133	Van/Minivan	Số sàn	23000	Dầu	16	Đã sử dụng	Lắp ráp trong nước	2018	496000000.0	Transit	Ford
35728	Sedan	Số sàn	10000	Xăng	16	Đã sử dụng	Nhập khẩu	2002	32000000.0	Rush	Toyota
22629	Sedan	Tự động	19	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2020	1360000000.0	Cclass	Mercedes Benz
32875	Sedan	Số sàn	39390	Xăng	5	Đã sử dụng	Nhập khẩu	1995	56990000.0	323	Mazda
19126	SUV / Cross over	Tự động	30000	Xăng	5	Đã sử dụng	Nhập khẩu	2016	2690000000.0	Macan	Porsche
29787	Van/Minivan	Số sàn	12345	Xăng	8	Đã sử dụng	Nhập khẩu	2010	235000000.0	Innova	Toyota
20191	Sedan	Tự động	60000	Xăng	5	Đã sử dụng	Nhập khẩu	2009	790000000.0	GS	Lexus
