	count	mean	std	min	25%	50%	75%	max
km_da_di	41601.0	146895.9058916853	2484119.4710453106	0.0	20000.0	60000.0	111111.0	300000000.0
so_cho_ngoi	41601.0	5.713708805076801	2.231097262971271	1.0	5.0	5.0	7.0	47.0
nam_sx	41601.0	2014.4535708276244	5.767011983065707	1980.0	2011.0	2016.0	2019.0	2021.0
gia	41601.0	465273761.5779188	537355834.740836	-2145967296.0	250000000.0	439000000.0	665000000.0	2140000000.0
tinh_trang_Mới	41601.0	0.07064734020816807	0.2562379203122875	0.0	0.0	0.0	0.0	1.0
tinh_trang_Đã sử dụng	41601.0	0.9293526597918319	0.2562379203122875	0.0	1.0	1.0	1.0	1.0
hang_Acura	41601.0	0.0004567197903896541	0.021366379460488423	0.0	0.0	0.0	0.0	1.0
hang_Alfa Romeo	41601.0	4.8075767409437276e-05	0.006933585778076988	0.0	0.0	0.0	0.0	1.0
hang_Audi	41601.0	0.007115213576596716	0.08405210963543105	0.0	0.0	0.0	0.0	1.0
hang_BMW	41601.0	0.01798033701112954	0.13288140931025924	0.0	0.0	0.0	0.0	1.0
hang_BYD	41601.0	9.615153481887455e-05	0.009805335323891771	0.0	0.0	0.0	0.0	1.0
hang_Baic	41601.0	0.000264416720751905	0.01625894089540231	0.0	0.0	0.0	0.0	1.0
hang_Bentley	41601.0	0.0015865003245114301	0.039799766554018644	0.0	0.0	0.0	0.0	1.0
hang_Buick	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
hang_Cadillac	41601.0	0.0008653638133698709	0.029404689130371954	0.0	0.0	0.0	0.0	1.0
hang_Changan	41601.0	7.211365111415591e-05	0.008491771553197748	0.0	0.0	0.0	0.0	1.0
hang_Chery	41601.0	0.00028845460445662364	0.016981705756565227	0.0	0.0	0.0	0.0	1.0
hang_Chevrolet	41601.0	0.03874906853200644	0.1929986362500646	0.0	0.0	0.0	0.0	1.0
hang_Chrysler	41601.0	0.0003846061392754982	0.01960784177764605	0.0	0.0	0.0	0.0	1.0
hang_Citroen	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
hang_Cuu Long	41601.0	4.8075767409437276e-05	0.0069335857780769864	0.0	0.0	0.0	0.0	1.0
hang_Daewoo	41601.0	0.027547414725607556	0.16367406215764296	0.0	0.0	0.0	0.0	1.0
hang_Daihatsu	41601.0	0.0010336289993029015	0.03213386736082697	0.0	0.0	0.0	0.0	1.0
hang_Dodge	41601.0	0.00016826518593303046	0.012970771639182789	0.0	0.0	0.0	0.0	1.0
hang_Dongben	41601.0	0.0005769092089132473	0.02401229361571204	0.0	0.0	0.0	0.0	1.0
hang_Dongfeng	41601.0	0.00012018941852359318	0.010962566389707076	0.0	0.0	0.0	0.0	1.0
hang_Ferrari	41601.0	0.00028845460445662364	0.016981705756565227	0.0	0.0	0.0	0.0	1.0
hang_Fiat	41601.0	0.001322083603759525	0.03633686059008272	0.0	0.0	0.0	0.0	1.0
hang_Ford	41601.0	0.09432465565731593	0.2922833702735723	0.0	0.0	0.0	0.0	1.0
hang_Fuso	41601.0	7.211365111415591e-05	0.008491771553197748	0.0	0.0	0.0	0.0	1.0
hang_GMC	41601.0	7.211365111415591e-05	0.008491771553197748	0.0	0.0	0.0	0.0	1.0
hang_Gaz	41601.0	4.8075767409437276e-05	0.0069335857780769864	0.0	0.0	0.0	0.0	1.0
hang_Geely	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
hang_Haima	41601.0	0.00014422730222831182	0.012008745447215741	0.0	0.0	0.0	0.0	1.0
hang_Hino	41601.0	0.00012018941852359318	0.010962566389707076	0.0	0.0	0.0	0.0	1.0
hang_Hoa Mai	41601.0	4.8075767409437276e-05	0.0069335857780769864	0.0	0.0	0.0	0.0	1.0
hang_Honda	41601.0	0.043460493738131295	0.20389379230712545	0.0	0.0	0.0	0.0	1.0
hang_Howo	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
hang_Hyundai	41601.0	0.1238191389630057	0.3293790638050852	0.0	0.0	0.0	0.0	1.0
hang_Infiniti	41601.0	0.0005769092089132473	0.024012293615712037	0.0	0.0	0.0	0.0	1.0
hang_Isuzu	41601.0	0.005480637484675849	0.07382906691458464	0.0	0.0	0.0	0.0	1.0
hang_JRD	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
hang_Jaguar	41601.0	0.0009855532318934642	0.03137842546328774	0.0	0.0	0.0	0.0	1.0
hang_Jeep	41601.0	0.0007692122785509964	0.02772434070411843	0.0	0.0	0.0	0.0	1.0
hang_Kenbo	41601.0	2.4037883704718638e-05	0.004902844450389859	0.0	0.0	0.0	0.0	1.0
hang_Kia	41601.0	0.1168481526886373	0.32124312061552585	0.0	0.0	0.0	0.0	1.0
hang_Komatsu	41601.0	2.4037883704718638e-05	0.004902844450389858	0.0	0.0	0.0	0.0	1.0
hang_Lada	41601.0	7.211365111415591e-05	0.008491771553197748	0.0	0.0	0.0	0.0	1.0
hang_Lamborghini	41601.0	0.00012018941852359318	0.010962566389707076	0.0	0.0	0.0	0.0	1.0
hang_LandRover	41601.0	0.009807456551525203	0.09854696236573653	0.0	0.0	0.0	0.0	1.0
hang_Lexus	41601.0	0.01834090526670032	0.134182522191136	0.0	0.0	0.0	0.0	1.0
hang_Lifan	41601.0	0.00014422730222831182	0.012008745447215741	0.0	0.0	0.0	0.0	1.0
hang_Lincoln	41601.0	0.0003365303718660609	0.018341897560635673	0.0	0.0	0.0	0.0	1.0
hang_Luxgen	41601.0	0.00021634095334246772	0.014707119001115708	0.0	0.0	0.0	0.0	1.0
hang_MG	41601.0	0.001322083603759525	0.036336860590082724	0.0	0.0	0.0	0.0	1.0
hang_Maserati	41601.0	0.0006490228600274032	0.02546796459750731	0.0	0.0	0.0	0.0	1.0
hang_Maybach	41601.0	2.4037883704718638e-05	0.004902844450389858	0.0	0.0	0.0	0.0	1.0
hang_Mazda	41601.0	0.0673301122569169	0.2505958454924701	0.0	0.0	0.0	0.0	1.0
hang_McLaren	41601.0	2.4037883704718638e-05	0.004902844450389859	0.0	0.0	0.0	0.0	1.0
hang_Mekong	41601.0	0.00016826518593303046	0.01297077163918279	0.0	0.0	0.0	0.0	1.0
hang_Mercedes Benz	41601.0	0.08083940289896878	0.27259159928585547	0.0	0.0	0.0	0.0	1.0
hang_Mini	41601.0	0.0011538184178264946	0.033948708736894664	0.0	0.0	0.0	0.0	1.0
hang_Mitsubishi	41601.0	0.04288358452921805	0.20259706156745272	0.0	0.0	0.0	0.0	1.0
hang_Nissan	41601.0	0.013893896781327372	0.11705206431783732	0.0	0.0	0.0	0.0	1.0
hang_Opel	41601.0	4.8075767409437276e-05	0.006933585778076987	0.0	0.0	0.0	0.0	1.0
hang_Peugeot	41601.0	0.00370183409052667	0.0607307102862828	0.0	0.0	0.0	0.0	1.0
hang_Porsche	41601.0	0.0062979255306362825	0.07911012642910618	0.0	0.0	0.0	0.0	1.0
hang_Proton	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
hang_Renault	41601.0	0.00024037883704718636	0.015502478253825263	0.0	0.0	0.0	0.0	1.0
hang_Rolls Royce	41601.0	0.0007211365111415591	0.026844623219282368	0.0	0.0	0.0	0.0	1.0
hang_SYM	41601.0	9.615153481887455e-05	0.009805335323891771	0.0	0.0	0.0	0.0	1.0
hang_Samsung	41601.0	0.00014422730222831182	0.012008745447215741	0.0	0.0	0.0	0.0	1.0
hang_Scion	41601.0	4.8075767409437276e-05	0.0069335857780769864	0.0	0.0	0.0	0.0	1.0
hang_Smart	41601.0	9.615153481887455e-05	0.009805335323891771	0.0	0.0	0.0	0.0	1.0
hang_Ssangyong	41601.0	0.0013461214874642437	0.03666526639117881	0.0	0.0	0.0	0.0	1.0
hang_Subaru	41601.0	0.0007692122785509964	0.027724340704118434	0.0	0.0	0.0	0.0	1.0
hang_Suzuki	41601.0	0.014038124083555684	0.11764942785004265	0.0	0.0	0.0	0.0	1.0
hang_TMT	41601.0	0.00016826518593303046	0.012970771639182789	0.0	0.0	0.0	0.0	1.0
hang_Teraco	41601.0	7.211365111415591e-05	0.008491771553197748	0.0	0.0	0.0	0.0	1.0
hang_Thaco	41601.0	0.005504675368380568	0.07398990142577683	0.0	0.0	0.0	0.0	1.0
hang_Toyota	41601.0	0.23078772144900364	0.4213419235006571	0.0	0.0	0.0	0.0	1.0
hang_UAZ	41601.0	0.00021634095334246772	0.014707119001115708	0.0	0.0	0.0	0.0	1.0
hang_Veam	41601.0	7.211365111415591e-05	0.008491771553197748	0.0	0.0	0.0	0.0	1.0
hang_VinFast	41601.0	0.008485372947765678	0.09172553427594557	0.0	0.0	0.0	0.0	1.0
hang_Vinaxuki	41601.0	0.00021634095334246772	0.014707119001115708	0.0	0.0	0.0	0.0	1.0
hang_Volkswagen	41601.0	0.002355712603062426	0.0484790647135689	0.0	0.0	0.0	0.0	1.0
hang_Volvo	41601.0	0.0011057426504170573	0.033234718812850665	0.0	0.0	0.0	0.0	1.0
hang_Zotye	41601.0	0.00016826518593303046	0.012970771639182789	0.0	0.0	0.0	0.0	1.0
dong_xe_100	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
dong_xe_100NX	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
dong_xe_107	41601.0	7.211365111415591e-05	0.008491771553197748	0.0	0.0	0.0	0.0	1.0
dong_xe_1200B	41601.0	4.8075767409437276e-05	0.006933585778076988	0.0	0.0	0.0	0.0	1.0
dong_xe_1240T	41601.0	7.211365111415591e-05	0.008491771553197748	0.0	0.0	0.0	0.0	1.0
dong_xe_1490T	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
